disease,description
aspiration pneumonia,"The growing population of older people worldwide represents a great challenge for health systems. The elderly are at increased risk of infectious diseases such as pneumonia, which is associated with increased morbidity and mortality related mainly to age-related physiological changes in the immune system (immunosenescence), the presence of multiple chronic comorbidities, and frailty. In pneumonia, microaspiration is recognized as the main pathogenic mechanism; while macroaspiration which refers to the aspiration of a large amount of oropharyngeal or upper gastrointestinal content passing through the vocal cords and trachea into the lungs is identified as ""aspiration pneumonia"". Although there are strategies for the prevention and management of patients with pneumonia that have been shown to be effective in older people with pneumonia, more research is needed on aspiration pneumonia, its risk factors and outcomes, especially since there are no specific criteria for its diagnosis and consequently, the studies on aspiration pneumonia include heterogeneous populations...."
asthma,Asthma is a common condition due to chronic inflammation of the lower respiratory tract. Chronic lower airway inflammation is known to be more common in individuals that also have inflammatory disorders of the upper airway. The scientific understanding of asthma continues to improve and it is important for providers who treat upper or lower airway inflammation to be familiar with asthma's definition and pathophysiology....
atonic bladder,"Neurogenic bladder dysfunction in children is frequently seen in patients with meningomyelocele (MMC). The disorder carries a high risk for all kinds of complications, with renal damage being the most important. More than 95% of MMC patients have a neurogenic bladder, the paramount manifestation of which is a disturbed coordination between detrusor and sphincter muscles. This vesicourethral dysfunction leads to defective filling and emptying of the urinary bladder. Voiding at will is almost never possible. According to the location and extent of the neural tube lesion, patients have either an atonic or a hypertonic pelvic floor and either an atonic or a hypertonic detrusor, leading to four classic combinations. Hypertonic sphincter and detrusor hyperactivity lead to the most dangerous form of neurogenic bladder, referred to as the ""unsafe"" bladder. The presence of residual urine in a high-pressure container causes either decompensation of the detrusor with vesicoureteral reflux or deterioration of the bladder wall with hypertrophy and stiffness resulting in uterovesical obstruction. The subsequent insufficient drainage of the upper urinary tract leads to decompensation of the ureters and finally to chronic renal disease, the process being accelerated by urinary tract infections. The aim of treatment is to restore as much as possible both essential functions: urine storage and timely emptying of the reservoir. What should and can be achieved is a more or less adequate, low-pressure, functional capacity of the bladder that is emptied as completely as possible by clean intermittent catheterization (CIC). MMC leads to the prototype of neurogenic bladder in childhood. What we know and what we do for MMC patients can roughly be applied to all other forms of neurogenic bladder, either congenital or acquired...."
atopic dermatitis,"Atopic dermatitis is a chronic, non-infectious inflammatory dermatosis. Acharacteristic feature is persistent itching of the skin. The chronic, relapsing course of the disease, economic burden, and the whole family's involvement in the treatment process immensely reduce the quality of life of patients and their families. The disease emerges as a social problem by increasing indirect costs, such as visiting a doctor, absenteeism from work and school, and avoiding social interactions. Thepathophysiology of atopic dermatitis is complex and multifactorial. It includes genetic disorders, a defect in the epidermal barrier, an altered immune response, anddisruption of the skin's microbial balance. The numerous complex changes at thegenetic level and innate and adaptive immunity provide the basis for characterizing the various phenotypes and endotypes of atopic dermatitis. Emerging therapies rely on the action of specific molecules involved in the disease's pathogenesis. It may be the starting point for the individualization of atopic dermatitis treatment. This paper will try to present some molecular mechanisms of atopic dermatitis and their clinical implications...."
atrial flutter,"Atrial flutter is a specific electrical entity. It has a now well-established mechanism involving a single macro-re-entrant circuit. Whilst many patients with atrial flutter may develop atrial fibrillation, atrial flutter deserves its own recognition and requires specific management. Acute termination by drugs is possible, although adding pacing improves efficacy. Ibutilide is a new intravenous therapy with considerable efficacy by with a risk of torsade de pointes. For long-term control, radiofrequency ablation is gradually supplanting chronic oral antiarrhythmic strategies...."
atrophic vaginitis,"Introduced in 2014, genitourinary syndrome of menopause (GSM) describes a variety of unpleasant genital, sexual and urinary symptoms that can either be isolated or coexisting and are not related to other medical conditions. GSM is a chronic and progressive condition that requires early recognition and appropriate management to preserve urogenital health. Despite the importance of early detection and treatment, the condition is consistently underdiagnosed and undertreated. Herein, we emphasize how to diagnose GSM in postmenopausal, hypoestrogenic, and hypoandrogenic women and summarize evidence-based treatments focusing on prescription treatments and adjunctive therapies...."
autonomic neuropathy,"Autonomic neuropathies represent a complex group of disorders that preferentially target autonomic fibers and can be classified as either acute/subacute or chronic in onset. Acute-onset autonomic neuropathies manifest with such conditions as paraneoplastic syndromes, Guillain-Barre syndrome, Sjögren syndrome, infection, or toxins/chemotherapy. When the presentation is acute, immune-mediated, and without a secondary cause, autoimmune autonomic ganglionopathy is likely, and should be considered for immunotherapy. Of the chronic-onset forms, diabetes is the most widespread and disabling, with autonomic impairment portending increased mortality and cardiac wall remodeling risk. Acquired light chain (AL) and transthyretin (TTR) amyloidosis represent two other key etiologies, with TTR amyloidosis now amenable to newly-approved gene-modifying therapies. The COMPASS-31 questionnaire is a validated outcome measure that can be used to monitor autonomic severity and track treatment response. Symptomatic treatments targeting orthostatic hypotension, among other symptoms, should be individualized and complement disease-modifying therapy, when possible...."
benign vaginal discharge (leukorrhea),"Uterine fibroids (UFs), leiomyomas or myomas, are a type of malignancy that affects the smooth muscle of the uterus, and it is most commonly detected in women of reproductive age. Uterine fibroids are benign monoclonal growths that emerge from uterine smooth muscle cells (myometrium) as well as fibroblasts. Uterine fibroid symptoms include abnormal menstrual bleeding leading to anaemia, tiredness, chronic vaginal discharge, and pain during periods. Other symptoms include protrusion of the abdomen, pain during intercourse, dysfunctions of bladder/bowel leading to urinary incontinence/retention, pain, and constipation. It is also associated with reproductive issues like impaired fertility, conceiving complications, and adverse obstetric outcomes. It is the leading cause of gynaecological hospitalisation in the American subcontinent and a common reason for the hysterectomy. Twenty-five percent of the reproductive women experience the symptoms of uterine fibroids, and among them, around 25% require hospitalization due to the severity of the disease. The frequency of the disease remains underestimated as many women stay asymptomatic and symptoms appear gradually; therefore, the condition remains undiagnosed. The exact frequency of uterine fibroids varies depending on the diagnosis, and the population investigated; nonetheless, the incidence of uterine fibroids in reproductive women ranges from 5.4 percent to 77 percent. The uterine fibroid treatment included painkillers, supplementation with iron, vitamin D3, birth control, hormone therapy, gonadotropin-releasing hormone (GnRH) agonists, drugs modulating the estrogen receptors, and surgical removal of the fibroids. However, more research needed at the level of gene to get a keen insight and treat the disease efficiently...."
bile duct obstruction,"The care of the patient with cholestasis hinges on identifying the etiology, treating reversible causes, and managing chronic cholestatic processes. PBC and PSC are important causes of chronic cholestasis, and are the most common causes of cholestatic liver disease. Effective therapy is available for patients with PBC, whereas none exists for patients with PSC. Awareness of the complications that may be associated with cholestasis and implementing the appropriate management are essential...."
blockage of upper airway,"Eosinophilic inflammation has been implicated in the pathogenesis, severity, and treatment responsiveness of chronic rhinosinusitis with nasal polyps (CRSwNP)...."
bone disorder,"Osteoporosis is defined as a skeletal disorder of compromised bone strength predisposing those affected to an elevated risk of fracture. However, based on bone histology, osteoporosis is only part of a spectrum of skeletal complications that includes osteomalacia and the various forms of renal osteodystrophy of chronic kidney disease-mineral and bone disorder (CKD-MBD). In addition, the label ""kidney-induced osteoporosis"" has been proposed, even though the changes caused by CKD do not qualify as osteoporosis by the histological diagnosis. It is clear, therefore, that such terminology may not be helpful diagnostically or in making treatment decisions. A new label, ""CKD-MBD/osteoporosis"" could be a more appropriate term because it brings osteoporosis under the official label of CKD-MBD. Neither laboratory nor noninvasive diagnostic investigations can discriminate osteoporosis from the several forms of renal osteodystrophy. Transiliac crest bone biopsy can make the diagnosis of osteoporosis by exclusion of other kidney-associated bone diseases, but its availability is limited. Recently, a classification of metabolic bone diseases based on bone turnover, from low to high, together with mineralization and bone volume, has been proposed. Therapeutically, no antifracture treatments have been approved by the US Food and Drug Administration for patients with kidney-associated bone disease. Agents that suppress parathyroid hormone (vitamin D analogues and calcimimetics) are used to treat hyperparathyroid bone disease. Antiresorptive and osteoanabolic agents approved for osteoporosis are being used off-label to treat CKD stages 3b-5 in high-risk patients. It has now been suggested that intermittent administration of parathyroid hormone as early as CKD stage 2 could be an effective management strategy. If confirmed in clinical trials, it could mitigate the retention of phosphorus and subsequently the rise in fibroblast growth factor 23 and may be beneficial for coexisting osteoporosis...."
brain abscess,These European Society of Clinical Microbiology and Infectious Diseases guidelines are intended for clinicians involved in diagnosis and treatment of brain abscess in children and adults....
bronchiectasis,"Bronchiectasis is a final common pathway of a wide variety of underlying conditions including infectious, autoimmune, allergic, genetic and inflammatory conditions. Patients experience a chronic disease with variable clinical symptoms and course, but most experience cough, sputum production and recurrent exacerbations. Symptoms of bronchiectasis lead to poor quality of life and exacerbations are the major driver of morbidity and mortality. Patients are often chronically infected with bacteria with the most common being Pseudomonas aeruginosa and Haemophilus influenzae. Treatment of bronchiectasis includes standardised testing to identify the underlying cause with targeted treatment if immune deficiency, allergic bronchopulmonary aspergillosis or non-tuberculous mycobacterial infection, for example, are identified. Airway clearance is the mainstay of therapy for patients with symptoms of cough and sputum production. Frequently exacerbating patients may benefit from long term antibiotic or mucoactive therapies. Bronchiectasis is a heterogeneous disease and increasingly precision medicine approaches are advocated to target treatments most appropriately and to limit the emergence of antimicrobial resistance...."
campylobacter infection,"Campylobacter jejuni infection is one of the most widespread infectious diseases of the last century. The incidence and prevalence of campylobacteriosis have increased in both developed and developing countries over the last 10 years. The dramatic increase in North America, Europe, and Australia is alarming, and data from parts of Africa, Asia, and the Middle East indicate that campylobacteriosis is endemic in these areas, especially in children. In addition to C. jejuni, there is increasing recognition of the clinical importance of emerging Campylobacter species, including Campylobacter concisus and Campylobacter ureolyticus. Poultry is a major reservoir and source of transmission of campylobacteriosis to humans. Other risk factors include consumption of animal products and water, contact with animals, and international travel. Strategic implementation of multifaceted biocontrol measures to reduce the transmission of this group of pathogens is paramount for public health. Overall, campylobacteriosis is still one of the most important infectious diseases that is likely to challenge global health in the years to come. This review provides a comprehensive overview of the global epidemiology, transmission, and clinical relevance of Campylobacter infection...."
central serous choroidopathy,"Central serous chorioretinopathy (CSC) is the fourth most common non-surgical retinopathy associated with fluid leakage. The pathogenesis is not yet completely understood, but changes in the choroid, sclera and RPE have been described associated with venous congestion of choroidal outflow. CSC can be categorised into acute, chronic, and recurrent subtypes with recent classifications of simple and complex based on the area of RPE change seen on fundus autofluorescence. A multimodal imaging approach is helpful in the diagnosis and management of CSC and secondary complications such as type 1 neovascularisation. Although spontaneous resolution with relatively good visual outcomes is common, treatment should be considered in patients with persistent or recurrent SRF. Treatment options include laser, systemic medications, intravitreal therapy, and surgery. Of these, argon laser for focal extramacular fluid leaks and photodynamic therapy of leakage identified by indocyanine-green angiography currently have the greatest supportive evidence...."
cervical polyps,"Polyps of the lower reproductive tract are found in 7.8-50% of women. It has been hypothesized that cytogenetic modifications on chromosomes 6, 7 and 12 as well as epigenetic factors involving enzyme and metabolic activities may cause polyps to develop. Cervical polyps found in 2-5% of cases are of low clinical significance and can cause, although rarely, post coital bleedings. Cervical polyps grow during pregnancy and mucorrhoea. Trans vaginal ultrasound (TVU) provides an excellent diagnostic technique to diagnose the size and the anatomic location of endometrial polyps (EPs). In asymptomatic young woman with small EPs <10 mm in size, conservative management can be safely followed by monitoring the polyp growth. EPs located at the fundal and tubocornual regions mechanically affect fertility and disturb normal cellular function due to chronic inflammation. In cases where Eps are a cause of subfertility mechanical hysteroscopic resection is advisable. When the sole reason for infertility is an EP, the patient often becomes spontaneously pregnant shortly after removal. EP Detection in either peri- or post-menopausal age, in symptomatic or asymptomatic patients calls for meticulous hysteroscopic examination and polypectomy is mandatory. Endometrial curettage is also recommended to rule out sub clinical endometrial hyperplasia or cancer. Hysteroscopic surgery for large EPs using bipolar resectoscopes, hysteroscopic morcellators or shavers are considered equally efficient and safe under general anaesthesia. Recurrence rate of EPs after resection is unknown. The recent advances in TVU and hysteroscopy, however, should provide an accurate diagnosis and effective treatment of polyp in the female reproductive tract with minimal recurrence or surgery complications. The significantly increased incidence of colorectal polyps in cohorts that also had EPs might indicate that patients with EPs should be also referred for colonoscopy. EPs have the lowest incidence of malignant transformation as compared to colon, urinary bladder, oropharyngeal, nasal and laryngeal carcinomas...."
cervicitis,"Cervicitis is the inflammation of the cervix. It is usually caused by an infectious agent, usually sexually transmitted. Cervicitis is frequently asymptomatic and silent infection can cause complications of the upper genital tract. The symptoms are usually nonspecific, the most significant being an increase in vaginal discharge and/or intermenstrual bleeding. For its diagnosis, there are commercial systems based on molecular techniques that include almost all of the known pathogens associated with cervicitis, although cultures should not be abandoned due to the need to conduct studies of susceptibility to antibiotics. It is recommended to initiate an empirical antibiotic therapy that covers C.trachomatis and N.gonorrhoeae in the case of women at high risk of infection by these pathogens, especially if the follow-up is not assured or adequate diagnostic tests are not available. In women with low risk of sexually transmitted infection, antibiotic therapy should be adjusted to the results of the microbiological results...."
chronic constipation,"Introduction: Chronic constipation is highly prevalent, affecting between 10% and 15% of the population. The Rome IV criteria categorizes disorders of chronic constipation into four subtypes: (a) functional constipation, (b) irritable bowel syndrome with constipation, (c) opioid-induced constipation, and (d) functional defecation disorders, including inadequate defecatory propulsion and dyssynergic defecation. The initial management approach for these disorders is similar, focusing on diet, lifestyle and the use of standard over-the-counter laxatives. If unsuccessful, further therapy is tailored according to subtype.Areas covered: This review covers the definition, epidemiology, diagnostic criteria, investigations and management of the Rome IV disorders of chronic constipation.Expert opinion: By adopting a logical step-wise approach toward the diagnosis of chronic constipation and its individual subtypes, clinicians have the opportunity to tailor therapy accordingly and improve symptoms, quality of life, and patient satisfaction...."
chronic glaucoma,"Glaucoma is the leading cause of irreversible blindness worldwide. The global prevalence of glaucoma in people aged 40 to 80 years is estimated to be 3.5%. With the growing number and proportion of older persons in the population, it is projected that 111.8 million people will have glaucoma in 2040. Currently available treatments cannot reverse glaucomatous damage to the visual system; however, early diagnosis and treatment can prevent progression of the disease. In most cases, glaucoma is a chronic condition that requires lifelong management. This article reviews the pathophysiology, classification, clinical manifestations, diagnosis, and management of glaucoma...."
chronic inflammatory demyelinating polyneuropathy,"Chronic inflammatory demyelinating polyneuropathy (CIDP) is immune-mediated neuropathy defined by clinical progression for more than 2 months, and electrodiagnostic evidence of peripheral nerve demyelination. However, there are several clinical phenotypes, classified into ""typical CIDP,"" and ""atypical CIDP"" such as ""multifocal acquired demyelinating sensory and motor neuropathy (MADSAM)."" Typical CIDP is a most common form, characterized by symmetric proximal and distal muscle weakness and motor-dominant manifestation. In typical CIDP, demyelination predominantly affects the distal nerve terminals and nerve roots, where the blood-nerve barrier is anatomically deficient. These features suggest antibody-mediated demyelination in typical CIDP. By contrast, MADSAM is characterized by multifocal demyelination in the nerve trunks, and such distribution of lesions results in multiple mononeuropathy or asymmetric polyneuropathy. In MADSAM, cellular immunity is likely to be involved in the breakdown of the blood-nerve barrier at the site of conduction block. Clinical features are probably determined by the distribution of demyelinative lesions and reflect the different immunopathogenesis of each CIDP subtype that would require different treatment strategy...."
chronic inflammatory demyelinating polyneuropathy (cidp),"Chronic inflammatory demyelinating polyneuropathy (CIDP) is immune-mediated neuropathy defined by clinical progression for more than 2 months, and electrodiagnostic evidence of peripheral nerve demyelination. However, there are several clinical phenotypes, classified into ""typical CIDP,"" and ""atypical CIDP"" such as ""multifocal acquired demyelinating sensory and motor neuropathy (MADSAM)."" Typical CIDP is a most common form, characterized by symmetric proximal and distal muscle weakness and motor-dominant manifestation. In typical CIDP, demyelination predominantly affects the distal nerve terminals and nerve roots, where the blood-nerve barrier is anatomically deficient. These features suggest antibody-mediated demyelination in typical CIDP. By contrast, MADSAM is characterized by multifocal demyelination in the nerve trunks, and such distribution of lesions results in multiple mononeuropathy or asymmetric polyneuropathy. In MADSAM, cellular immunity is likely to be involved in the breakdown of the blood-nerve barrier at the site of conduction block. Clinical features are probably determined by the distribution of demyelinative lesions and reflect the different immunopathogenesis of each CIDP subtype that would require different treatment strategy...."
